"Value Research Online"
"Date: 28-Jul-2015 14:48"
"Fund","Rating","1-Month Return","1-Month Rank","3-Month Return","3-Month Rank","1-Year Return","1-Year Rank","3-Year Return","3-Year Rank","5-Year Return","5-Year Rank","10-Year Return","10-Year Rank"
"Franklin India Opportunities Fund","* * * ","0.21","110/135","4.62","86/135","29.35","7/125","26.96","11/66","13.5","21/61","15.03","25/28"
"Franklin India Prima Fund","* * * * ","1.09","106/114","6.1","89/114","34.06","58/112","36.61","14/52","19.74","15/48","17.25","12/20"
"Franklin India Prima Plus Fund","* * * * * ","1.27","60/135","6.04","44/135","30","6/125","27.95","5/66","16.58","1/61","19.72","1/28"
"Franklin India Smaller Companies Fund","* * * * * ","2","86/114","5.12","102/114","33.49","59/112","41.84","3/52","22.14","4/48","-","-"
"Franklin India Taxshield Fund","* * * * * ","1.28","43/75","6.23","35/75","29.77","11/73","27.39","11/37","17.08","4/36","18.27","2/19"
"Franklin Infotech Fund","Unrated","0.08","10/10","4.18","8/10","13.15","10/10","25.82","5/5","14.01","3/5","14.42","4/5"
"Goldman Sachs Banking BeES Fund","* * * ","-0.59","19/29","3.45","15/29","19.45","13/23","21.46","5/13","12.73","5/10","16.2","2/3"
"Goldman Sachs CNX 500 Fund","* * ","0.77","83/135","3.66","105/135","11.09","108/125","19.49","57/66","8.74","55/61","-","-"
"Goldman Sachs CNX Nifty Shariah BeES Fund","Unrated","0.77","55/148","6.24","10/145","10.16","74/143","19.6","32/75","8.84","51/64","-","-"
"Goldman Sachs CPSE Exchange Traded Fund","Unrated","-3.22","148/148","1.28","134/145","-1.88","143/143","-","-","-","-","-","-"
"Goldman Sachs Hang Seng BeES Fund","Unrated","-7.48","-","-12.06","-","9.56","-","16.29","-","12.4","-","-","-"
"Goldman Sachs India Equity Fund","Unrated","2.12","26/61","8.89","9/61","30.34","6/56","-","-","-","-","-","-"
"Goldman Sachs Infra BeES Fund","* ","-0.56","43/43","1.9","37/43","-0.02","43/43","12.72","22/22","-","-","-","-"
"Goldman Sachs Nifty ETS Fund","* * * ","0","84/148","2.49","85/145","8.37","92/143","18.2","52/75","9.66","35/64","14.53","17/35"
"Goldman Sachs Nifty Junior BeES Fund","* * * ","3.01","17/61","8.47","14/61","25.66","18/56","27.47","5/28","12.07","15/26","15.25","9/15"
